comment,label
Otel çok güzeldi ve personel çok ilgiliydi,pozitif
Oda çok temizdi ve yatak rahattı,pozitif
Kahvaltı harikaydı ve yemekler lezzetliydi,pozitif
Personel güler yüzlüydü ve çok yardımcı oldu,pozitif
Konum çok iyiydi ve otel çok rahattı,pozitif
Temizlik çok başarılıydı,pozitif
Hizmet kalitesi çok iyiydi,pozitif
Fiyat performans olarak çok iyi bir oteldi,pozitif
Odalar konforluydu ve sessizdi,pozitif
Tekrar kalmak isterim,pozitif
Oda kirliydi ve kötü kokuyordu,negatif
Personel çok ilgisizdi,negatif
Wifi çok yavaştı ve hiç çekmiyordu,negatif
Kahvaltı çok kötüydü,negatif
Oda çok küçüktü ve gürültülüydü,negatif
Fiyat çok pahalıydı ve değmezdi,negatif
Banyo kirliydi ve havlular temiz değildi,negatif
Resepsiyon çok kabaydı,negatif
İnternet bağlantısı çok kötüydü,negatif
Memnun kalmadım,negatif
Otel normaldi,nötr
Fena değildi,nötr
Ortalama bir deneyimdi,nötr
Ne iyi ne kötüydü,nötr
Oda idare ederdi,nötr
Kahvaltı standarttı,nötr
Personel normaldi,nötr
Genel olarak sıradan bir oteldi,nötr
Beklentimi ne aştı ne de çok kötüydü,nötr
Tekrar kalıp kalmayacağımdan emin değilim,nötr